Size,prompt_name,Function,Min,Average,Max,Minimum Average,Percentage
10000,prompt_4,p7_quicksort,0.0021863,1.299366606,2.1722879,0.845382578,53.70160682
100000,prompt_4,p7_quicksort,600,600,600,586.639008,2.277549189
1000,prompt_5,p7_quicksort,0.0435506,0.085459607,1.2622157,0.060036497,42.34609087
10000,prompt_5,p7_quicksort,0.5905664,1.561547657,6.2962261,0.845382578,84.7149087
100000,prompt_5,p7_quicksort,600,600,600,586.639008,2.277549189
1000,prompt_6,p7_quicksort,7.90E-06,0.06466873,0.3438179,0.060036497,7.715694111
10000,prompt_6,p7_quicksort,0.0020505,9.202099763,600,0.845382578,988.5130592
100000,prompt_6,p7_quicksort,0.0403678,592.1058248,600,586.639008,0.931887704
1000,prompt_7,p7_quicksort,6.60E-06,0.065003298,0.276841,0.060036497,8.272969022
10000,prompt_7,p7_quicksort,6.60E-06,1.320440868,3.6926059,0.845382578,56.19447367
100000,prompt_7,p7_quicksort,6.60E-06,592.5925927,600,586.639008,1.014863411
1000,prompt_1,p8_reverse_list,2.64E-05,0.000493662,0.0049547,0.000298761,65.23645277
10000,prompt_1,p8_reverse_list,0.0002252,0.004983927,0.0333491,0.003041698,63.85345356
100000,prompt_1,p8_reverse_list,0.0021954,0.057005429,0.3331878,0.039406795,44.65888023
1000,prompt_2,p8_reverse_list,2.69E-05,0.000298761,0.0023868,0.000298761,0
10000,prompt_2,p8_reverse_list,0.0002246,0.003041698,0.0237226,0.003041698,0
100000,prompt_2,p8_reverse_list,0.0021937,0.039406795,0.2469285,0.039406795,0
1000,prompt_3,p8_reverse_list,2.69E-05,0.00045048,0.0060204,0.000298761,50.78284663
10000,prompt_3,p8_reverse_list,0.0002255,0.004630066,0.0336194,0.003041698,52.21980137
100000,prompt_3,p8_reverse_list,0.0022043,0.055887566,0.3172387,0.039406795,41.82215369
1000,prompt_4,p8_reverse_list,2.69E-05,0.000488794,0.0047181,0.000298761,63.60698796
